x, z_0, z_1, z_2
2.319998, 1.455897, 0.959616, 0.085913
2.329998, 1.465498, 0.960468, 0.084396
2.339998, 1.475107, 0.961304, 0.082897
2.349998, 1.484724, 0.962126, 0.081419
2.359998, 1.494349, 0.962933, 0.079959
2.369998, 1.503983, 0.963725, 0.078520
2.379998, 1.513624, 0.964503, 0.077099
2.389998, 1.523273, 0.965267, 0.075697
2.399998, 1.532929, 0.966017, 0.074315
2.409998, 1.542593, 0.966753, 0.072951
2.419998, 1.552264, 0.967476, 0.071606
2.429998, 1.561942, 0.968185, 0.070280
2.439998, 1.571628, 0.968882, 0.068973
2.449998, 1.581320, 0.969565, 0.067683
2.459998, 1.591019, 0.970235, 0.066412
2.469998, 1.600725, 0.970893, 0.065160
2.479998, 1.610437, 0.971539, 0.063925
2.489998, 1.620155, 0.972172, 0.062708
2.499998, 1.629880, 0.972793, 0.061509
2.509998, 1.639611, 0.973402, 0.060327
2.519998, 1.649348, 0.974000, 0.059163
2.529998, 1.659091, 0.974585, 0.058016
2.539998, 1.668840, 0.975160, 0.056886
2.549998, 1.678594, 0.975723, 0.055774
2.559998, 1.688354, 0.976275, 0.054678
2.569998, 1.698120, 0.976817, 0.053599
2.579998, 1.707891, 0.977347, 0.052537
2.589998, 1.717667, 0.977867, 0.051491
2.599998, 1.727448, 0.978377, 0.050462
2.609998, 1.737234, 0.978877, 0.049448
2.619998, 1.747026, 0.979366, 0.048451
2.629998, 1.756822, 0.979846, 0.047469
2.639998, 1.766622, 0.980316, 0.046504
2.649998, 1.776428, 0.980776, 0.045553
2.659998, 1.786238, 0.981227, 0.044619
2.669998, 1.796052, 0.981668, 0.043699
2.679998, 1.805871, 0.982101, 0.042795
2.689998, 1.815694, 0.982524, 0.041905
2.699998, 1.825522, 0.982939, 0.041030
2.709998, 1.835353, 0.983345, 0.040170
2.719998, 1.845189, 0.983742, 0.039324
2.729998, 1.855028, 0.984131, 0.038493
2.739998, 1.864871, 0.984512, 0.037676
2.749998, 1.874718, 0.984885, 0.036873
2.759998, 1.884569, 0.985250, 0.036083
2.769998, 1.894423, 0.985607, 0.035308
2.779998, 1.904281, 0.985956, 0.034545
2.789998, 1.914142, 0.986298, 0.033797
2.799998, 1.924007, 0.986632, 0.033061
2.809998, 1.933875, 0.986959, 0.032338
2.819998, 1.943746, 0.987279, 0.031629
2.829998, 1.953620, 0.987592, 0.030932
2.839998, 1.963498, 0.987898, 0.030248
2.849998, 1.973378, 0.988197, 0.029576
2.859998, 1.983262, 0.988489, 0.028916
2.869998, 1.993148, 0.988775, 0.028268
2.879998, 2.003037, 0.989054, 0.027633
2.889998, 2.012929, 0.989328, 0.027009
2.899998, 2.022824, 0.989595, 0.026397
2.909998, 2.032721, 0.989856, 0.025796
2.919998, 2.042621, 0.990111, 0.025207
2.929998, 2.052523, 0.990360, 0.024628
2.939998, 2.062428, 0.990603, 0.024061
2.949998, 2.072335, 0.990841, 0.023505
2.959998, 2.082245, 0.991073, 0.022959
2.969998, 2.092157, 0.991300, 0.022424
2.979998, 2.102071, 0.991522, 0.021900
2.989998, 2.111987, 0.991738, 0.021385
2.999998, 2.121906, 0.991950, 0.020881
3.009998, 2.131826, 0.992156, 0.020387
3.019998, 2.141749, 0.992357, 0.019903
3.029998, 2.151673, 0.992554, 0.019428
3.039998, 2.161600, 0.992746, 0.018963
3.049998, 2.171528, 0.992933, 0.018507
3.059998, 2.181458, 0.993116, 0.018060
3.069998, 2.191391, 0.993295, 0.017623
3.079998, 2.201324, 0.993469, 0.017194
3.089998, 2.211260, 0.993638, 0.016775
3.099998, 2.221197, 0.993804, 0.016364
3.109998, 2.231136, 0.993966, 0.015961
3.119998, 2.241076, 0.994123, 0.015567
3.129997, 2.251019, 0.994277, 0.015181
3.139997, 2.260962, 0.994427, 0.014804
3.149997, 2.270907, 0.994573, 0.014434
3.159997, 2.280853, 0.994716, 0.014072
3.169997, 2.290801, 0.994855, 0.013718
3.179997, 2.300750, 0.994990, 0.013372
3.189997, 2.310701, 0.995122, 0.013033
3.199997, 2.320653, 0.995251, 0.012701
3.209997, 2.330606, 0.995376, 0.012377
3.219997, 2.340560, 0.995498, 0.012060
3.229997, 2.350516, 0.995617, 0.011750
3.239997, 2.360473, 0.995733, 0.011446
3.249997, 2.370430, 0.995846, 0.011150
3.259997, 2.380389, 0.995956, 0.010860
3.269997, 2.390350, 0.996064, 0.010576
3.279997, 2.400311, 0.996168, 0.010299
3.289997, 2.410273, 0.996270, 0.010028
3.299997, 2.420236, 0.996369, 0.009763
3.309997, 2.430200, 0.996465, 0.009505
3.319997, 2.440166, 0.996559, 0.009252
3.329997, 2.450132, 0.996650, 0.009005
3.339997, 2.460099, 0.996739, 0.008764
3.349997, 2.470066, 0.996825, 0.008528
3.359997, 2.480035, 0.996909, 0.008298
3.369997, 2.490005, 0.996991, 0.008073
3.379997, 2.499975, 0.997071, 0.007854
3.389997, 2.509946, 0.997148, 0.007640
3.399997, 2.519918, 0.997223, 0.007431
3.409997, 2.529891, 0.997297, 0.007226
3.419997, 2.539864, 0.997368, 0.007027
3.429997, 2.549838, 0.997437, 0.006833
3.439997, 2.559813, 0.997505, 0.006643
3.449997, 2.569788, 0.997570, 0.006458
3.459997, 2.579764, 0.997634, 0.006277
3.469997, 2.589741, 0.997696, 0.006101
3.479997, 2.599718, 0.997756, 0.005929
3.489997, 2.609696, 0.997814, 0.005761
3.499997, 2.619674, 0.997871, 0.005597
3.509997, 2.629653, 0.997926, 0.005438
3.519997, 2.639633, 0.997980, 0.005282
3.529997, 2.649613, 0.998032, 0.005131
3.539997, 2.659593, 0.998083, 0.004983
3.549997, 2.669574, 0.998132, 0.004839
3.559997, 2.679556, 0.998179, 0.004698
3.569997, 2.689538, 0.998226, 0.004562
3.579997, 2.699521, 0.998271, 0.004428
3.589997, 2.709504, 0.998314, 0.004298
3.599997, 2.719487, 0.998357, 0.004172
3.609997, 2.729471, 0.998398, 0.004048
3.619997, 2.739455, 0.998437, 0.003928
3.629997, 2.749439, 0.998476, 0.003811
3.639997, 2.759424, 0.998514, 0.003697
3.649997, 2.769410, 0.998550, 0.003586
3.659997, 2.779395, 0.998585, 0.003478
3.669997, 2.789381, 0.998620, 0.003373
3.679997, 2.799368, 0.998653, 0.003271
3.689997, 2.809354, 0.998685, 0.003171
